time_step,SantaFe_amplitude,NARMA10_target,Lorenz63_x,Lorenz63_y,Lorenz63_z
174,35,0.21119611,5.55767067,8.46851844,18.29646771
175,176,0.38667325,7.22744066,11.00319505,18.93229598
176,215,0.33951342,9.29027069,13.66311457,21.3796409
177,46,0.16518517,11.40949016,15.24380244,25.84203894
178,11,0.17793137,12.78419182,14.14263825,31.1506954
179,7,0.44888388,12.54471288,10.22894702,34.63743634
180,5,0.17356578,10.66033497,5.78392791,34.65497476
181,4,0.18840475,8.07442516,2.95000703,32.180533
182,3,0.22611143,5.79143389,1.92325321,28.91194666
183,4,0.27467682,4.25797128,1.98156374,25.74044889
184,19,0.4530777,3.47520987,2.56440339,22.92569343
185,105,0.24884333,3.29997628,3.46658217,20.53244288
186,125,0.2428296,3.61864053,4.7137178,18.62345858
187,55,0.17617702,4.39942589,6.44185607,17.33777452
188,30,0.2527692,5.68311393,8.79920134,16.96628391
189,28,0.24732918,7.52655573,11.76978513,18.03556335
190,41,0.26733538,9.85597842,14.78037773,21.24368391
191,71,0.43658618,12.18820248,16.2323385,26.77085177
192,98,0.4309505,13.4662536,14.19040216,32.83557147
193,79,0.38949088,12.71790431,9.11752247,36.02129151
194,49,0.18318437,10.21192331,4.25720155,35.06880139
195,34,0.2796995,7.24219196,1.66762728,31.83239158
196,33,0.20402024,4.85588531,0.97271925,28.19968625
197,47,0.19562309,3.35908615,1.20160544,24.87475721
198,75,0.54656867,2.63019616,1.79559473,21.97182992
199,95,0.34165407,2.46721339,2.60016657,19.48537044
200,76,0.57383482,2.73835296,3.67697581,17.43010476
201,48,0.45307532,3.41305821,5.19323983,15.88725425
202,34,0.47011903,4.55137091,7.3673164,15.06854892
203,35,0.27854971,6.27187479,10.37439019,15.43200503
204,49,0.31519973,8.6567397,14.03768065,17.79570022
205,78,0.28051443,11.48830925,17.12689497,23.05339184
206,96,0.19847277,13.82101535,16.97392856,30.59960326
207,75,0.50823251,14.12692973,12.02075883,36.57514979
208,47,0.2842931,11.86280942,5.41335002,37.32857639
209,34,0.16443182,8.33006379,1.21092297,34.13851613
210,34,0.37858456,5.15660755,-0.21329859,29.99034223
211,49,0.2424174,3.01229957,-0.24235123,26.19291528
212,81,0.45616179,1.81170898,0.15171533,22.91557876
213,99,0.52032269,1.25787161,0.61227004,20.08089737
214,76,0.49331818,1.10669854,1.09739168,17.62015802
215,46,0.26961586,1.22375553,1.68575176,15.49527556
216,32,0.15390245,1.57088151,2.50957302,13.69671934
217,33,0.36370204,2.18766653,3.75387421,12.26012282
218,49,0.2286293,3.18622516,5.67898823,11.31870528
219,83,0.51637237,4.75409379,8.61851451,11.22779513
220,101,0.40208481,7.12836835,12.81498792,12.80701389
221,74,0.6020946,10.41619758,17.7110962,17.54706766
222,44,0.37010423,14.01365889,20.42697123,26.59862608
223,32,0.36242487,15.91725714,16.40885393,36.78791241
224,33,0.41399299,14.15815724,7.074821,40.66304482
225,50,0.22561048,9.71822105,-0.00241424,37.41327012
226,85,0.22547654,5.23721298,-2.53859207,32.23645061
227,103,0.31475669,2.08477054,-2.79944632,27.76262459
228,73,0.63739998,0.21098936,-2.58391482,24.16508518
229,43,0.58564107,-0.8727436,-2.57323028,21.19524343
230,30,0.4890751,-1.60669622,-2.95351985,18.71231421
231,31,0.22866221,-2.29886384,-3.8003991,16.68493543
232,49,0.32511871,-3.17097201,-5.22704899,15.17746815
233,85,0.62641494,-4.41685981,-7.4137184,14.40073671
234,106,0.26520373,-6.2275845,-10.52556447,14.8355556
235,74,0.26271884,-8.72701421,-14.37447258,17.36793779
236,43,0.46682635,-11.7021974,-17.62361841,22.99422571
237,31,0.56924403,-14.12918903,-17.32725159,31.04839148
238,31,0.51331751,-14.34679925,-11.85583737,37.23094363
239,49,0.46673498,-11.83679248,-4.85889284,37.70611684
240,87,0.26534906,-8.08330072,-0.63666902,34.17887867
241,109,0.26468089,-4.80259993,0.68528364,29.86603144
242,76,0.57517094,-2.62526578,0.66431436,26.01477835
243,41,0.38703529,-1.40731078,0.29986176,22.72176641
244,29,0.476706,-0.815558,-0.0580739,19.87903584
245,30,0.63870304,-0.58472313,-0.36186325,17.40413496
246,47,0.466407,-0.56075394,-0.66249447,15.24500648
247,87,0.41413234,-0.67724375,-1.03809626,13.36628901
248,110,0.52256247,-0.92849608,-1.58624996,11.74661693
249,76,0.4021039,-1.35673993,-2.44317914,10.38710936
250,41,0.37130067,-2.05514442,-3.81665854,9.33832553
251,28,0.544792,-3.18414005,-6.0234831,8.77130037
252,30,0.63459826,-4.99049142,-9.48642166,9.15209789
253,47,0.41475385,-7.77752481,-14.48541738,11.59473041
254,88,0.38628714,-11.63242561,-20.04871945,18.11478974
255,114,0.22474336,-15.54333565,-21.78647814,29.70086668
256,79,0.34473605,-16.70595939,-14.52919026,40.42935143
257,41,0.18958,-13.4227001,-3.42490623,41.73433516
258,28,0.32157502,-7.98268086,2.75832347,36.51952441
259,28,0.38589465,-3.34216164,4.24522098,31.02225701
260,45,0.3021638,-0.35958763,4.15831188,26.81436371
261,86,0.44245925,1.38422475,4.06501807,23.58350417
262,117,0.18911872,2.4972209,4.43537334,21.03271209
263,82,0.14113388,3.44059577,5.38796608,19.09059753
264,42,0.27304101,4.52406992,6.98812611,17.85851393
265,26,0.27056071,5.95923199,9.28292925,17.62379948
266,26,0.15946538,7.86321244,12.13668414,18.90234027
267,43,0.29084821,10.14640633,14.83722574,22.29798701
268,84,0.41255988,12.27735778,15.75948324,27.72815778
269,119,0.21470929,13.23662293,13.32232011,33.1943465
270,85,0.36038618,12.25814683,8.43113483,35.6432886
271,42,0.16340856,9.77253571,4.09347723,34.37208972
272,26,0.12869979,7.00054214,1.88767899,31.19329494
273,25,0.35915222,4.83654757,1.3586013,27.7181068
274,39,0.30139902,3.51554935,1.65859275,24.53818119
275,80,0.26609054,2.91921441,2.3248932,21.76581416
276,121,0.38645871,2.87401269,3.24844272,19.4194324
277,90,0.58387453,3.27735279,4.51180499,17.54738162
278,43,0.31197157,4.12154619,6.28827843,16.28539688
279,26,0.27186449,5.47638513,8.76467723,15.9376773
280,24,0.28731983,7.43283949,11.967366,17.08661873
281,36,0.18983711,9.94693772,15.31367995,20.56371968
282,76,0.28261248,12.51154883,16.99232614,26.69054466
283,123,0.17346598,13.9208206,14.6729741,33.47597298
284,96,0.13635837,13.03679051,8.90112301,36.89369677
285,46,0.52621405,10.20548332,3.56588616,35.61898584
286,26,0.61419748,6.94126776,0.90174081,31.99635961
287,23,0.44287476,4.38453856,0.2684238,28.12948504
288,35,0.28254369,2.8027436,0.51534533,24.6750026
289,72,0.22297957,2.01075508,1.03738156,21.67773869
290,123,0.1745666,1.76070663,1.6732602,19.08795483
291,102,0.20531343,1.89026023,2.47394478,16.8794087
292,50,0.22996739,2.34403129,3.58734724,15.06947354
293,27,0.24857535,3.1611756,5.22772679,13.75193831
294,22,0.47568157,4.462265,7.66327404,13.17945332
295,31,0.31115813,6.4232962,11.11821593,13.92429926
296,64,0.54234795,9.16395653,15.35584934,17.05017425
297,121,0.40888684,12.3891362,18.6746585,23.69465289
298,110,0.28259678,14.80794343,17.52335362,32.70224801
299,53,0.27147583,14.5365846,10.70262579,38.64587666
300,27,0.24508091,11.36998378,3.27293334,38.00354843
